non_coil_percent,coil_percent,helix_percent,strand_percent,radius_of_gyration,length,sample
0.8666666666666667,0.13333333333333333,0.8666666666666667,0.0,1.2354707953158914,len_090,sample_0
0.9,0.1,0.9,0.0,1.3771782069555663,len_090,sample_1
0.788888888888889,0.2111111111111111,0.4666666666666667,0.32222222222222224,1.3891292540277669,len_090,sample_2
0.8666666666666667,0.13333333333333333,0.8666666666666667,0.0,1.2885852990238815,len_090,sample_3
0.8444444444444444,0.15555555555555556,0.5,0.34444444444444444,1.3031516077404746,len_090,sample_4
0.9111111111111111,0.08888888888888889,0.9111111111111111,0.0,1.4551711472596933,len_090,sample_5
0.8777777777777778,0.12222222222222222,0.8777777777777778,0.0,1.2589819223019243,len_090,sample_6
0.8777777777777778,0.12222222222222222,0.8777777777777778,0.0,1.3602448128158275,len_090,sample_7
0.7555555555555555,0.24444444444444444,0.5,0.25555555555555554,1.2748343004210287,len_090,sample_8
0.8333333333333334,0.16666666666666666,0.7444444444444445,0.08888888888888889,1.2063182996773811,len_090,sample_9
0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0,1.2970662716810173,len_091,sample_0
0.9120879120879121,0.08791208791208792,0.9120879120879121,0.0,1.225554289767645,len_091,sample_1
0.8791208791208791,0.12087912087912088,0.8791208791208791,0.0,1.2119297923112649,len_091,sample_2
0.7802197802197802,0.21978021978021978,0.7802197802197802,0.0,1.302461293134306,len_091,sample_3
0.8241758241758241,0.17582417582417584,0.8241758241758241,0.0,1.2105632838685823,len_091,sample_4
0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0,1.2125926694548546,len_091,sample_5
0.8681318681318682,0.13186813186813187,0.8681318681318682,0.0,1.362485870341328,len_091,sample_6
0.7472527472527473,0.25274725274725274,0.3956043956043956,0.3516483516483517,1.2618456605926984,len_091,sample_7
0.8131868131868132,0.18681318681318682,0.8131868131868132,0.0,1.2701628509029501,len_091,sample_8
0.9120879120879121,0.08791208791208792,0.9120879120879121,0.0,1.2532004859687227,len_091,sample_9
0.826086956521739,0.17391304347826086,0.3695652173913043,0.45652173913043476,1.2980146957936955,len_092,sample_0
0.8804347826086957,0.11956521739130435,0.8804347826086957,0.0,1.2515936167914503,len_092,sample_1
0.8369565217391305,0.16304347826086957,0.7282608695652174,0.10869565217391304,1.2449204690162938,len_092,sample_2
0.9021739130434783,0.09782608695652174,0.9021739130434783,0.0,1.2421900379051583,len_092,sample_3
0.8695652173913043,0.13043478260869565,0.8695652173913043,0.0,1.3339652728096254,len_092,sample_4
0.9239130434782609,0.07608695652173914,0.9239130434782609,0.0,1.5137406428577438,len_092,sample_5
0.8260869565217391,0.17391304347826086,0.8260869565217391,0.0,1.2027283389025958,len_092,sample_6
0.7608695652173914,0.2391304347826087,0.7608695652173914,0.0,1.180445234339385,len_092,sample_7
0.8586956521739131,0.14130434782608695,0.8586956521739131,0.0,1.2730955634797279,len_092,sample_8
0.7826086956521738,0.21739130434782608,0.41304347826086957,0.3695652173913043,1.3326264163695436,len_092,sample_9
0.8709677419354839,0.12903225806451613,0.8709677419354839,0.0,1.1721314167479984,len_093,sample_0
0.7849462365591398,0.21505376344086022,0.6021505376344086,0.1827956989247312,1.2182912352732136,len_093,sample_1
0.7419354838709677,0.25806451612903225,0.1827956989247312,0.5591397849462365,1.2246831913395104,len_093,sample_2
0.8279569892473119,0.17204301075268819,0.8279569892473119,0.0,1.2883259876887436,len_093,sample_3
0.8709677419354839,0.12903225806451613,0.8709677419354839,0.0,1.3886047537612913,len_093,sample_4
0.7956989247311828,0.20430107526881722,0.41935483870967744,0.3763440860215054,1.345820733125922,len_093,sample_5
0.8924731182795699,0.10752688172043011,0.8924731182795699,0.0,1.2636566780748675,len_093,sample_6
0.8494623655913979,0.15053763440860216,0.8494623655913979,0.0,1.1926924283091236,len_093,sample_7
0.7956989247311828,0.20430107526881722,0.7956989247311828,0.0,1.2350085382314615,len_093,sample_8
0.7849462365591398,0.21505376344086022,0.5591397849462365,0.22580645161290322,1.2985904812825,len_093,sample_9
0.8829787234042553,0.11702127659574468,0.8829787234042553,0.0,1.296091044973694,len_094,sample_0
0.8829787234042553,0.11702127659574468,0.8829787234042553,0.0,1.2592864197561329,len_094,sample_1
0.8617021276595744,0.13829787234042554,0.8617021276595744,0.0,1.3064964005522723,len_094,sample_2
0.8617021276595744,0.13829787234042554,0.8617021276595744,0.0,1.3061826451796212,len_094,sample_3
0.8617021276595744,0.13829787234042554,0.8617021276595744,0.0,1.3005720555085072,len_094,sample_4
0.7446808510638298,0.2553191489361702,0.7446808510638298,0.0,1.2752692211730332,len_094,sample_5
0.8617021276595744,0.13829787234042554,0.5106382978723404,0.35106382978723405,1.424925633283933,len_094,sample_6
0.7659574468085106,0.23404255319148937,0.30851063829787234,0.4574468085106383,1.376002925301822,len_094,sample_7
0.851063829787234,0.14893617021276595,0.851063829787234,0.0,1.2867107949372703,len_094,sample_8
0.7978723404255319,0.20212765957446807,0.39361702127659576,0.40425531914893614,1.338605016154351,len_094,sample_9
0.8947368421052632,0.10526315789473684,0.8947368421052632,0.0,1.347758281243965,len_095,sample_0
0.8947368421052632,0.10526315789473684,0.8947368421052632,0.0,1.5859584753369345,len_095,sample_1
0.8210526315789474,0.17894736842105263,0.4105263157894737,0.4105263157894737,1.3236863725324217,len_095,sample_2
0.8736842105263158,0.12631578947368421,0.8736842105263158,0.0,1.3333572776537415,len_095,sample_3
0.8736842105263158,0.12631578947368421,0.8736842105263158,0.0,1.3064476595762962,len_095,sample_4
0.8526315789473684,0.14736842105263157,0.8526315789473684,0.0,1.3717981304999993,len_095,sample_5
0.8947368421052632,0.10526315789473684,0.8947368421052632,0.0,1.3892244024101732,len_095,sample_6
0.8105263157894737,0.18947368421052632,0.8105263157894737,0.0,1.2041257671760452,len_095,sample_7
0.8842105263157894,0.11578947368421053,0.8842105263157894,0.0,1.4574147447754975,len_095,sample_8
0.8526315789473684,0.14736842105263157,0.7263157894736842,0.12631578947368421,1.30792238958353,len_095,sample_9
0.7395833333333334,0.2604166666666667,0.7395833333333334,0.0,1.1947589999605142,len_096,sample_0
0.8645833333333334,0.13541666666666666,0.8645833333333334,0.0,1.2959388627428499,len_096,sample_1
0.8645833333333334,0.13541666666666666,0.8645833333333334,0.0,1.3676962210713224,len_096,sample_2
0.8229166666666666,0.17708333333333334,0.8229166666666666,0.0,1.2023256647646259,len_096,sample_3
0.7916666666666667,0.20833333333333334,0.4479166666666667,0.34375,1.3313048350237533,len_096,sample_4
0.90625,0.09375,0.90625,0.0,1.4236434590548148,len_096,sample_5
0.7708333333333334,0.22916666666666666,0.7708333333333334,0.0,1.3156314982139934,len_096,sample_6
0.8125,0.1875,0.8125,0.0,1.2436530833122932,len_096,sample_7
0.84375,0.15625,0.6458333333333334,0.19791666666666666,1.388537124673706,len_096,sample_8
0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,1.2976368826604692,len_096,sample_9
0.8247422680412371,0.17525773195876287,0.4639175257731959,0.36082474226804123,1.3018441408056616,len_097,sample_0
0.845360824742268,0.15463917525773196,0.845360824742268,0.0,1.237971021428339,len_097,sample_1
0.8762886597938144,0.12371134020618557,0.8762886597938144,0.0,1.351080156255778,len_097,sample_2
0.8350515463917526,0.16494845360824742,0.8350515463917526,0.0,1.222870460485481,len_097,sample_3
0.8144329896907216,0.18556701030927836,0.8144329896907216,0.0,1.2862358593656702,len_097,sample_4
0.845360824742268,0.15463917525773196,0.845360824742268,0.0,1.274471919602997,len_097,sample_5
0.8556701030927835,0.14432989690721648,0.8556701030927835,0.0,1.3586723382537156,len_097,sample_6
0.7835051546391751,0.21649484536082475,0.5463917525773195,0.23711340206185566,1.3109395016341048,len_097,sample_7
0.8762886597938144,0.12371134020618557,0.8762886597938144,0.0,1.2671254528912923,len_097,sample_8
0.7525773195876289,0.24742268041237114,0.3711340206185567,0.38144329896907214,1.389180805466036,len_097,sample_9
0.8367346938775511,0.16326530612244897,0.8367346938775511,0.0,1.298924888077563,len_098,sample_0
0.8469387755102041,0.15306122448979592,0.8469387755102041,0.0,1.4005889016874546,len_098,sample_1
0.8469387755102041,0.15306122448979592,0.8469387755102041,0.0,1.2591333663779507,len_098,sample_2
0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0,1.2288343358932783,len_098,sample_3
0.8775510204081632,0.12244897959183673,0.8775510204081632,0.0,1.3586815185495071,len_098,sample_4
0.826530612244898,0.17346938775510204,0.826530612244898,0.0,1.260627704614512,len_098,sample_5
0.8775510204081632,0.12244897959183673,0.8775510204081632,0.0,1.3692629396161202,len_098,sample_6
0.8877551020408163,0.11224489795918367,0.8877551020408163,0.0,1.2447437480599792,len_098,sample_7
0.6428571428571428,0.35714285714285715,0.32653061224489793,0.3163265306122449,1.3695790884076524,len_098,sample_8
0.6836734693877551,0.3163265306122449,0.24489795918367346,0.4387755102040816,1.4572628755689503,len_098,sample_9
0.8383838383838383,0.16161616161616163,0.8383838383838383,0.0,1.2418098570576683,len_099,sample_0
0.8080808080808082,0.1919191919191919,0.5555555555555556,0.25252525252525254,1.2966529461004275,len_099,sample_1
0.7878787878787878,0.21212121212121213,0.24242424242424243,0.5454545454545454,1.4673626200964862,len_099,sample_2
0.7676767676767677,0.23232323232323232,0.494949494949495,0.2727272727272727,1.2676044017939805,len_099,sample_3
0.898989898989899,0.10101010101010101,0.898989898989899,0.0,1.5797859024839298,len_099,sample_4
0.7676767676767677,0.23232323232323232,0.2828282828282828,0.48484848484848486,1.3850172638685272,len_099,sample_5
0.8383838383838383,0.16161616161616163,0.8383838383838383,0.0,1.3523054911888173,len_099,sample_6
0.7272727272727273,0.2727272727272727,0.31313131313131315,0.41414141414141414,1.3086589573124865,len_099,sample_7
0.7878787878787878,0.21212121212121213,0.5151515151515151,0.2727272727272727,1.4868318727151746,len_099,sample_8
0.9393939393939394,0.06060606060606061,0.9393939393939394,0.0,1.461089649866478,len_099,sample_9
0.86,0.14,0.86,0.0,1.258670112110985,len_100,sample_0
0.87,0.13,0.87,0.0,1.301029039643751,len_100,sample_1
0.9,0.1,0.9,0.0,1.3586093509956128,len_100,sample_2
0.76,0.24,0.55,0.21,1.3097912066868513,len_100,sample_3
0.83,0.17,0.42,0.41,1.2874530791932846,len_100,sample_4
0.91,0.09,0.91,0.0,1.33299086133079,len_100,sample_5
0.87,0.13,0.87,0.0,1.3439916738267481,len_100,sample_6
0.8,0.2,0.8,0.0,1.2388653642712268,len_100,sample_7
0.87,0.13,0.87,0.0,1.4086806184034961,len_100,sample_8
0.85,0.15,0.85,0.0,1.3946042897193043,len_100,sample_9
0.8811881188118812,0.1188118811881188,0.8811881188118812,0.0,1.3906247186135319,len_101,sample_0
0.7623762376237624,0.2376237623762376,0.40594059405940597,0.3564356435643564,1.3590410945182343,len_101,sample_1
0.8019801980198019,0.19801980198019803,0.7029702970297029,0.09900990099009901,1.2538423825361724,len_101,sample_2
0.8415841584158416,0.15841584158415842,0.8415841584158416,0.0,1.3498482270684007,len_101,sample_3
0.801980198019802,0.19801980198019803,0.6237623762376238,0.1782178217821782,1.2757666929622893,len_101,sample_4
0.8910891089108911,0.10891089108910891,0.8910891089108911,0.0,1.207820716478557,len_101,sample_5
0.8118811881188119,0.18811881188118812,0.8118811881188119,0.0,1.237389840523681,len_101,sample_6
0.8514851485148515,0.1485148514851485,0.8514851485148515,0.0,1.2794462644209499,len_101,sample_7
0.8316831683168316,0.16831683168316833,0.8316831683168316,0.0,1.333243317038111,len_101,sample_8
0.8811881188118812,0.1188118811881188,0.8811881188118812,0.0,1.4163041448101346,len_101,sample_9
0.9117647058823529,0.08823529411764706,0.9117647058823529,0.0,1.5345839505111922,len_102,sample_0
0.7352941176470589,0.2647058823529412,0.4019607843137255,0.3333333333333333,1.2869870911056407,len_102,sample_1
0.696078431372549,0.30392156862745096,0.4117647058823529,0.28431372549019607,1.324352843532536,len_102,sample_2
0.8529411764705882,0.14705882352941177,0.8529411764705882,0.0,1.2593947267713461,len_102,sample_3
0.6862745098039216,0.3137254901960784,0.4803921568627451,0.20588235294117646,1.2472823195773592,len_102,sample_4
0.8627450980392157,0.13725490196078433,0.8627450980392157,0.0,1.2880480964858785,len_102,sample_5
0.803921568627451,0.19607843137254902,0.803921568627451,0.0,1.3003733271753897,len_102,sample_6
0.8921568627450981,0.10784313725490197,0.8921568627450981,0.0,1.2377512636117454,len_102,sample_7
0.803921568627451,0.19607843137254902,0.4803921568627451,0.3235294117647059,1.3209921273623042,len_102,sample_8
0.8431372549019609,0.1568627450980392,0.5784313725490197,0.2647058823529412,1.350537505020427,len_102,sample_9
0.9514563106796117,0.04854368932038835,0.9514563106796117,0.0,1.5464248374116003,len_103,sample_0
0.8058252427184466,0.1941747572815534,0.5922330097087378,0.21359223300970873,1.3175464551160603,len_103,sample_1
0.8058252427184466,0.1941747572815534,0.8058252427184466,0.0,1.3398519136637461,len_103,sample_2
0.766990291262136,0.23300970873786409,0.6504854368932039,0.11650485436893204,1.2961586690405482,len_103,sample_3
0.854368932038835,0.14563106796116504,0.6310679611650486,0.22330097087378642,1.361758046523331,len_103,sample_4
