pdbTM,sample,length
0.926,sample_4,len_111
0.602,sample_5,len_111
0.605,sample_6,len_111
0.696,sample_7,len_111
0.889,sample_8,len_111
0.68,sample_9,len_111
0.775,sample_0,len_112
0.63,sample_1,len_112
0.762,sample_2,len_112
0.678,sample_3,len_112
0.754,sample_4,len_112
0.741,sample_5,len_112
0.604,sample_6,len_112
0.767,sample_7,len_112
0.663,sample_8,len_112
0.783,sample_9,len_112
0.683,sample_0,len_113
0.86,sample_1,len_113
0.597,sample_2,len_113
0.69,sample_3,len_113
0.789,sample_4,len_113
0.755,sample_5,len_113
0.688,sample_6,len_113
0.744,sample_7,len_113
0.805,sample_8,len_113
0.697,sample_9,len_113
0.641,sample_0,len_114
0.765,sample_1,len_114
0.715,sample_2,len_114
0.766,sample_3,len_114
0.618,sample_4,len_114
0.729,sample_5,len_114
0.6,sample_6,len_114
0.741,sample_7,len_114
0.727,sample_8,len_114
0.805,sample_9,len_114
0.663,sample_0,len_115
0.786,sample_1,len_115
0.791,sample_2,len_115
0.73,sample_3,len_115
0.675,sample_4,len_115
0.72,sample_5,len_115
0.75,sample_6,len_115
0.809,sample_7,len_115
0.714,sample_8,len_115
0.603,sample_9,len_115
0.619,sample_0,len_116
0.955,sample_1,len_116
0.738,sample_2,len_116
0.589,sample_3,len_116
0.626,sample_4,len_116
0.675,sample_5,len_116
0.745,sample_6,len_116
0.834,sample_7,len_116
0.845,sample_8,len_116
0.616,sample_9,len_116
0.789,sample_0,len_117
0.553,sample_1,len_117
0.758,sample_2,len_117
0.508,sample_3,len_117
0.85,sample_4,len_117
0.608,sample_5,len_117
0.606,sample_6,len_117
0.646,sample_7,len_117
0.729,sample_8,len_117
0.908,sample_9,len_117
0.488,sample_0,len_118
0.916,sample_1,len_118
0.652,sample_2,len_118
0.623,sample_3,len_118
0.753,sample_4,len_118
0.864,sample_5,len_118
0.697,sample_6,len_118
0.8,sample_7,len_118
0.601,sample_8,len_118
0.641,sample_9,len_118
0.614,sample_0,len_119
0.843,sample_1,len_119
0.659,sample_2,len_119
0.677,sample_3,len_119
0.675,sample_4,len_119
0.808,sample_5,len_119
0.917,sample_6,len_119
0.582,sample_7,len_119
0.678,sample_8,len_119
0.652,sample_9,len_119
0.655,sample_0,len_120
0.701,sample_1,len_120
0.591,sample_2,len_120
0.633,sample_3,len_120
0.727,sample_4,len_120
0.712,sample_5,len_120
0.787,sample_6,len_120
0.611,sample_7,len_120
0.685,sample_8,len_120
0.631,sample_9,len_120
0.675,sample_0,len_121
0.712,sample_1,len_121
0.64,sample_2,len_121
0.585,sample_3,len_121
0.721,sample_4,len_121
0.688,sample_5,len_121
0.725,sample_6,len_121
0.714,sample_7,len_121
0.571,sample_8,len_121
0.665,sample_9,len_121
0.868,sample_0,len_122
0.581,sample_1,len_122
0.63,sample_2,len_122
0.852,sample_3,len_122
0.706,sample_4,len_122
0.76,sample_5,len_122
0.71,sample_6,len_122
